абазия | abasia, ае / | abaziya
- спинного мозга | myelocele, es f | onurga yiliginin ingisi
- ущемленная | hernia incarcerata | gysylan; gapjalan ingi
- хрусталика | phacocele, es f | goz hrustaliginin; merlenjiginin ingisi
грыжевой | hernialis, e | in gi.. . inga degi$li
грыжесечение | herniotomia, ae f | gerniotomiya; ingi kesme
грязелечение | pelotherapia, ae f ( | peloterapiya; pal^yk bilen bejerme
грязь лечебная (минеральная, морская) | limus, i in | bejergi pal^ygy (mineral deniz pakygy)
губа | labium, i n; labrum, i n | dodak
- заячья | labium leporinum sive fissum | tow§an dodak
- отсутствие врожденное | aeheilia, ae f | dodagyn dogabitdi bolmazlygy
- рта | labium oris | agzyn dogabitdi bolmazlygy
губной | labialis, с | dodak. . . dodaga degisli
губчатый | fundosus, a, um; spougiosus, а, ит | oyjiik gornu§li
гумма | gumma, syphiloma, atis 11 | gumma; sifiloma; merezyel
гуммозный | gummosus, a, um | gummoz
- узел | syphiloma, atis n | sifiloma; merezyel duwni
- гуморальный | humoralis, e | gumoral; suwuklyk; i^ki sreda
Гурлер болезнь | gargoylismus, i m | Gurler keseli
Гурлер-Эллиса полидистрофия | gargoylismus, i m | Gurler-Ellisin polidistrofiyasy
густой | deusus/t, um; spissus, a, um; compactus, a, um; | goyy
давление | tensio, onis f | Basy?
- артериальное (кровяное) | tensio arterialis | arterial gan basy§; arteriya gan damarlarynyn basy§y
- повышенное | hypertensio, onis f hypertonia, morbus ae f hypertonicus | gipertenziya; gipertoniya; arterial basy§yn yokarlanmagy; gipertoniya arterial gan basy§ynyn yokarlanmagy
- пониженное | hypotonia, ae f | gipotoniya: arterial basy§yn peselmegi; gipertoniya arterial basy§yn peselmegi
- венозное | tensio venosa | wena gan damarlarynyn basy§y
- внутриглазное, или интраокулярное | tensio intraocularis | gozbn i?ki intraokulyar basy§y
- внутричерепное, или интракраниальное | tensio intracrarnialis | intrakranial ya-da kelle \‘anagynyn i^ki basy§y
дакриоаденит | dacryoadenitis, tidist f | dakrioadenit
дакриопс | dacryops, onis f | dakriops; g(>zya§ haltajygynyn kistasy
дакриоцистит | dacryocystitis, tidist f | dakriosistit
дактилалгия | dactylalgia, ae f | daktilalgiya
дактилогрипоз | dactylogryposis, is f | daktilogripoz
дактилодиния | dactylodynia, ae f | daktilodiniya
дактилоспазм | dactylospasmus, / m | daktilospazm
дальнозоркость | hypermetropia, ae f | gipermetropiya; uzakdan, da^dan gorujilik.
- старческая | presbyopia, ae f | presbiopiya; garrylykdaky uzakdan gorujilik
дальтонизм | daltonismus, i m | dalltonizm; renk seljermezlik
Дамуазо линия | Damoiseau'curva | damuazo liniyasy
Дарлинга цитомикоз | histoplasmosis, is f | gistoplazmoz; sitomikoz; darlingin sitomikozy
дарсонвализация | darsonvalisatio, onis f | darsonwalizasiya
Дауна болезнь | mongolismus, / m | mongolizm; Daunyn keseli
двенадцатиперстная кишка | duodenum, i n | on iki barmak i^ege
двигательный нерв | nervus motorius | hereketlendiriji nerw
движение | ingressus,us m kinesis,/.s / | hereket; gymyldy
- круговое | rotatio, onis f | rotasiya
- содружественное | synkinesis, is f | sinkinez; arkala§ykly hereket
двойное зрение | diplopia, ae f | diplopiya; goze go§a gorunme
двойной | bigeminus, a, um; duplex, is is; gemellus, a, um; dicroticus, e | bigemen; iki; go§a; jubut
двубокий | bilateralis, e | bilateral; iki yanly; iki gapdally
двубрюшный | biventer tra, trum | biwenteriki ya-da iki garynly
двуглавая мышца | biceps, cipitis m | biseps; iki ba§ly <?igin my§sasy
двуглазый | binocularis. e | binokulyar; iki gozli
двугнездный | bilocularis, e | bilokulyar; iki kameraly
двузначный | amphiboiicus, а, ит | amfibolik; iki bellikli. ahmiyetli; manyly
двузубчатый | bicuspidalis, е | bikuspidal; iki di^li
двукамерный | bilocularis, е | bilokulyar; iki kameraly
двуплодная беременность | graviditas bigeminaiis sive gemellaris | ekiz gowrelilik
двуполовое развитие двуполость | hermaphroditismus, im | germafroditizm; iki jynsly osii§
двуполый | bisexualis, e | biseksual; iki jynsly
двурогий | bicornis, e | iki §ahly
двуручный | bimanualis. e | bimanual; iki tutarly; iki saply; iki el bilen
двустворчатый | bicuspidalis, e; mitralis, e | bikuspidal; mitral; iki tayly; iki yanly
двусторонний | bilateralis, e; amphoterus, a, um | bilateral; iki taraply; iki yiizii
- паралич | diplegia, ae f | diplegiya; iki taraplayyn ysmaz; paraliy
двуударный | dicrotus, a, um | g°§a urgy
- пульс | dicrotia, ae f | go§a urguly damar urma; puls
дебильность | debilitas, atis f ; debilitas mentalis | debil; doga kemakyllyk
девиация | deviatio, onis f | dewiasiya; ugrun; bol^un bir sebabe gora uytgemegi
девственница | virgo, inis f | el degmedik gyz
девственная плева | hymen, inis in | gyzlyk perdesi
дегельминтизация | dehelminthisatio, onis f | degelmintizasiya
дегенеративный | degenerativus, a, um | degeneratiw
дегенерация, дегенерирование | degeneratio, onis f | degenerasiya; erbetle^mek
- амилоидная | degeneratio amyloidea | amiloid degenerasiyasy
- гепатолентикуляр- | degeneratio hepatolen- | gepatolentikulyar degenerasiyasy
ная | ticularis | 
- гиалиновая | hyalinosis, is f | gialinoz degenerasiyasy
- жировая | degeneratio adiposa, steatosis, “ / | yag degenerasiyasy
- сетчатки пигментная | retinitis pigmentosa | goziin torly gatynvn pigmentli degenerasiyasy
дегидратация | desiccatio, onis f | degidratasiya
Дегио проба | Degio testuin | Degio testi; barlagy
дезинсекция | desinseetio, onis f | dezinseksiya; mor-inojekleri yok etmek
дезинтоксикация | desintoxicatio, onis f | dezintoksikasiya; zahersizlendirmek
дезинфекция | desinfectio onis f | dezinfeksiya
дезинфицирующие средства | desinficientia (remedia)nlpl | dezinfeksiya seri^deleri
дезодорирующие средства | <lesodorantia(remedia)n/pl | dezodorant; yslary ayyryan serisdeler
дезориентация | desorientatio. onis f | dezorientasiya,; ugruny yitirmek
действие | effectus, us m | effekt; tasir
- кумулятивное | eumulatio, onis f | kumulyatiw tasir
- побочное | effectus secundarius | yaramaz tasir
- содружественное | synergismus, I m | sinergizm; ylalasykly tasir
действующий, дееспособный | activus, a, um | aktiw tasir edyan
дейтеранопия | deuteranopia, ae f | deyteranopiya; ya§yl renki seljermezlik
декальцификация | decalcificatio, onis f | dekalsifikasiya
декапсуляция | decapsulatio, onis f | dekapsulyasiya
- почек | decapsulatio renum | biiwregiii dekapsulyasiyasy: bowregi gabygyndan ayyrmak
- психофизиологическая | decapsulatio, onis f | psihoflziologiki dekapsulyasiya
декокт | decoctum, I n | dekokt; gaynatma
деколорация | decoloratio, onis f | dekolorasiya; renksizlendirmek
декомпенсация | decompensatio, onis f decompensatio cordis | dekompensasiya; yiirek dekompensasiyasy
декомпозиция | decompositio. onis f | dekompozisiya; ayry-ayry maddalara dargamak
деконтаминация | decontaminatio, onis f | dekontaminasiya
декоординация двигательная | dysergia, ae f | dizergiya; reaktiwligin bozulmagy
декортикация | decorticatio, onis f | dekortikasiya
декстроза | glucosa, ae f | dekstroza; glyukoza
декстрокардия | dextrocardia, ae f | dekstrokardiya
декуссация | decussatio, onis f | dekussasiya
деление сегментное | segmentatio. onis f | segmentasiya; den boleklere bolmek
делирий | delirium, i n | deliriya; samramak
делирозный синдром, бредовое состояние | delirium, i m | deliroz sindromy; samrama haly; yagdayy
дельтовидный | deltoideus, a, um | deltoid; §aha-fjaha gornii§li
делюзия | delusio, onis f | delyuziya
демаркация | demarcatio, onis f | demarkasiya; ara^ak
деменция, дементность | dementia, ae f | demensiya; kemakyllyk
- сенильная | dementia senilis | garrylyk; senil demensiyasy
демпинг - синдром | dumping - svndromum | demping sindromy
дендрит | dendrituni, I n | dendrit; aksonyn osiintgisi
дентин | dentinuni, I n | dentin; di§in siink maddasy
денгификация | dentificatio, onis f | dentifikasiya
денгиция | dentitio, onis f | dentisiya
дентура | dentura, ae f | dentura
денудация | denudatio, onis f | denudasiya; ustiini ortmek; yapmak
дентуриция | denutritio, onis f | denutrisiya
деонтология врачебная или медицинская | deontologia medicalis | medisina deontologiyasy
деперсонализация | depersonalisatio, onis f | depersonalizasiya; asgermezlik
депигментация | depigmentatio, onis f | depigmentasiya; renki ocmek; renksizlenmek
депиляторные лекарственные средства | depi latoriat remedia )n/pl | depilyatorlar; s a la ry dii§uryan derman seri§deleri
депиляция | depilatio, onis f | depilyasiya: ча«,' diisijrmek
депрессивный | depressivus, a, um | depressiw; sustupes
- синдром | depressio, onis f melancholia, ae f | melanholiya; depressiw sindromy
депрессия | depressio, onis f | depressiya; sustupes ruhy gamgynlyk
депрессор | depressor, oris m | depressor; dartgynlygy gow§adyan
депрессорный нерв | nervus depressor | depressor nerwi
дератизация | derattisatio, onis f | deratizasiya; gemirijileri yok etmek
дерево жизни | arbor vitae | omiir daragty
держатель | retinaculum, in tenaculum, in | saklayjy; tutgu?; gysgy?
Деркума болезнь | adipositas dolorosa (Dercum) | Derkum keseli
дерма | corium, i n | deri; ham
дерматит | dermatitis, tidis f | dermatit
- преканцерозный | Boweni morbus | prekanseroz dermatit
- профессиональный | dermaosis professionalis | professional dermatit
дерматозооноз | dermatozoonosis, is f | dermatozoonoz
дерматолог | dermatologus, im | dermatolog: deri kcsellerini bejeryan hekim
дерматология | dermatologia, ae f | dermatologiya; deri keselleri hakyndaky ylym
дерматом | dermatoma, atis n | dermatom
дерматомикоз | dermatjmycosis, is f | dermatomikoz; deri komelegi
дерматомиозит | dermatomyositis, tidis f | dermatomiozit
дерматотропный | dermotropus, a, um | dermatotrop
дерматофития | dermatomycosis, is f | dermatomikoz; deri mikoz keseli
дермографизм | dermogoraphismus, im | dermografizm; deri yazgysy
дермоид, дермоидная киста | dermoidum, in | dermoid kistasy
десенный | gingivalis, e | di? eti . . .
десенсибилизация | desensibigisatio. onis f | desensibilizasiya: yokary duygurlygy peseltmek
десикация | desiccatio, onis f | desikasiya; guratmak; kesmek
десквамация | desquamatio, onis f | deskwamasiya; deri ortuginin gurap ga^magy
десмургия | desmurgia, ae f | desmurgiya
десна | gingiva, ae f | flifj eti
- опухоль | epulis, idis f | di$ etinin «,i§i
дестилляция | destillatio, onis f | destillyasiya; arassalamak; durlamak
деструктивный | destructive, a, um | destruktiw; strukturasy (duziimi) bozulan
деструкция | destructio, onis f | destruksiya; dokumanyn, organlaryn gurlu^ynyn uytgemegi, bozulmagy
десцеметова оболочка, мембрана | Descemeti membrana | Dessemet gabygy; membranasj
десцендентный | descendens, ntis | dessendent; a§ak dii?>yan; a§ak inyan
детеубийетва | infanticidium, in | yaga oldurmek
детрит | detritus, us m | detrit
- оспенный | vaccinum variolae | mama gar§y ulanylyan suwuklyk
детские параличи | paralyses infantium | yaga ysmaz keselleri
детское место | placenta, ae f | plasenta; yaga yolda§y
детство, детство раннее | infantia, ae f | yagalyk diiwri; irki yagalvk
детумесценция | detumescentia, ae f | detumessensiya
дефекация | defaecatio, onis / sedes, is f | defekasiya; uly taret etmek
дефекация болезненная | dyschesia, ae f | disheziya; agyryly taret ekmek
дефекация непроизвольная | incontinentia alvi | biygtyyar uly taret; ygtyyarsyz taret
дефект | lacuna, ae f | lakuna; kem; yetmez
дефервесценция | defervescentia, ae f | deferwessensiya
деферентит | deferentitis, tidis f | deferentit
дефицитный | deficiens, ntis | defisit; gyt; gytlyk
дефлорация | defloratio, onis f | deflorasiya
деформированный | difformis, e | §ekili, gornu§i, galypy iiytgap bozulan
деформирующий | deformans, ntis | §ekil uytgediji
децеребрация | decerebratio, onis | deserebrasiya; ba§yny kesmek
децидуальная оболочка | decidua, ae f | desidual gabyk
деятельность усиленная | hyperfunctio, onis f | giperfunksiya; i*jleysin; funksiyanyn guyclenmegi
деятельный | activus, a um | aktiw; calasyn; i§jen
Джексоновская эпилепсия | epilepsia corticalis (epilepsia partialis) | Jeksonowvn garagu§agyry keseli
диабет | diabetes, ае т | diabet; suyji keseli
- бронзовый | haemochromatosis, is f | gemohromatoz; biiruny diabeti
- несахарный | diabetes insipidus | suyjusiz diabet
- почечный | diabetes renalis | bowrek diabeti
> сахарный | diabetes mellitus | suyji diabeti
диабетический | diabeticus, a , um | diabetiki
диагноз | diagnosis, is f | diagnoz
- вероятный, или предположительный | diagnosis probabilis | takmynan diagnoz
- дифференциальный, или различительный | diagnosis differentialis | differensial; tapawutlandyryjy diagnoz
- на основании оценки результатов примененных лекарств | diagnosis ex juvantibus | dermanlaryn tasiri netijesinde anyklanan diagnoz
- ранний | diagnosis praecox | irgozinden anyklanan diagnoz
диагностика | diagnostica, ae f | diagnostika
диазореакция Эрлиха | diaro-reactio | diazoreaksiya
- в крови | diaro-reactio | gandaky diazoreaksiya
- в моче | diaro-reactio | pesewdaki diazoreaksiya
диализ | dialysis, is f | dializ; syzmak
диаметр | dianietrum.. in | diametr
диапедсз | diapedesis. is f | diapedez: suzrnek
диарея | diarrhoea ae f | diareya: iygeyme
- вирусная или эпидемическая | diarrhoea epidemica | wirusly; epidemik diareya; epidemiki i^ge^me
диартроз | diarthrosis, is J | diart roz
диастаз | diastasis, is f | diastaz
диастаза | amylasa, ae f | amilaza
днасзема | diastema, atis 11 | diastema
диастола | diastole, es / | diastola
диастолический | diastolicus. a, um | diastoliki
- шум | murmur diastohicum | diastoliki ses
диатез | diathesis, is f | diatez
- артритический | arthitisnius, ini | artritizm; artritiki diatez
- геморрагический | diathesis laemoi rhagica | gemorragiki diatez
- лимфатпко-гнпопластический | diathesis hymphatica | limfatiko-gipoplastiki diatez
- мочекислый . | diathesis urica | duzly diatez
- нервно-артрнческий | diathesis neuroarthritica | nerw-artritik diatez
- экссудативный | diathesis exsudativa | ekssudatiw diatez
диатермия | diatherniia, ae J | diatermiya
диатермокоапляцпя | diathermocoagulatio, onis f | diatermokoagulyasiya
диафаноскопия | diaphanoscopia, ae J | diafanoskopiya
диафиз | diaphysis, is f | dializ; el-ayak sunkleriii orta bolegi
диафорез | diaphoresis, is f | diaforez
диафрагма | diaphragma, atis n | diafragma: garyn-do^ germewi
- таза | diaphragma pelvis | yanak sunk germewi
диафрагмальный | diaphragmaticus, a, um; phrenicus, a, um | diafragmatik; diafragma.
- нерв | nervus phrenicus | diafragmal nerw
- феномен Лнттена | Litteni phaenomenum sive signum | Littenin diafragmal fenomeni
дивергентный | divergens, ntis | diwergent; yayram ak; gy§armak
дивергенция | divergentia, ae f | diwergensiya; ayrylma; arasy ayyima
дивертикул | diverticulum, in | diwertikul; iyi bo§ haltajyk
- Меккеля | diverticulum ilei (diverticulum Meckcli) | Mekkelin divvertikuly
дигестивные лекарственноые вещества | digestiva (remedia)»//;/ | digestiw; iymit sindiriji derman seri§deleri; maddalary
дигестивный | digestivus, a, um | degestiw; iymit sindiriji
дигестия | digestio. onis f | digestiya; iymit sindirmek
дигиталис | Digitalis, is f | digitalis
ди Гульемо болезнь | erythroblastosis acuta | di Gulyemo keseli: eritroblastoz
диета | diaeta, ae f | diyeta; berhiz
- абсолютная | inedia, ae f ; diaeta absoluta | absolyut berhiz
диететика | diaetetica, ae f | diyetetika: berhize degisli
диетотерапия | diaetothcrapia, ae f | diyetoterapiya; berhiz bilen bejermek
дизакузия | dysacusis, is f | dizakuziya
дизартрия | dysarthria, ae f | dizartriya
дизартроз | dysarthrosis, is f | dizartroz; bogun hereketinin nasazlygy
дизентерия, дизентерия бактериальная | dysenteria, ae f | dizenteriya; ganly iygeyme
- амёбная | amoebiasis, is f | amyoba dizenteriyasy; iygeymesi
дизергия | dysergia, ae f | dizergiya; reaktiwligin bozulmagy
дизестезия | dysaesthesia, ae f | dizesteziya: duyiis bozulmasy
дизонтогенез | dysontogenesis, is f | dizontogenez
дизосмия | dysosmia, ae f | dizosmiya; ys alsyn bozulmasy
дизостоз | dysostosis, is f | dizostoz
дизостозы множественные | gargoylismus, i in | gargoilizm; dizostatik dalilik
дизостотнческая идиотия | gargoylisnuis, i m | gargoilizni; dalilik
дизурия | dysuria, ae f | dizuriya; pesew cykinagyn kynlyь) У
Дика реакция | Dicki test u in | Dik reaksiyasy
"дикое мясо" | caro luxurians | yara gyrasynda; ham iistiinde et goruii<yli yi§in osmegi
дикротня, днкротизм | dicrotia, ae J ; pulsus | dikrotiya
дикротнческий пульс | dierotus | dikrotiki ya-da gosa urguly damar urnia: puls
дикротичеекнй | dicroticus, a, um | dikrotiki: iki drkiicli: tolkunly
диктиома | dictyonia, atis n | diktioma
дилататор | dilatator, oris m | dilatator; gineldiji
дилатация | dilatatio, onis f | dilatasiya, ginelme
- желудка | dilatio ventriculi | a'jga/anyn ginelmesi
- сердца | dilatio cordis | yiiregin ginelmesi
диоптрия | dioptria, ae f | dioptriya
диплегпя | diplegia, ae f | diplegiya; bedenin yarty gapdalynyn ysmazlygy: bedenin yarysynyn ysmazlygy
- фациальная | diplegia facialis | yiizi gy§armak
диплобацилла | Diplobacillus. i m | diplobasilla; go§a basilla
диплококк | Diplococcus, / in | diplokokk; go§a kokkmikroby
диплопия | diplopia, ae f | diplopiya; goze go§a goriinme
диплоэ | diploe, es f | diploe; kelle sunkunin oyjuk-oyjuk maddasy
дипсомания | dipsomania, ae f | dipsomaniya; kop iymeklik
дисбазия | dysbasia, ae f | disbaziya; yorey§in bozulmasy
дисгевзия | dysgeusia, ae f | disgewziya; tagam duy§un bozulmasy
дисгерминома | dysgerminoma, atis n | disgerminoma
дисгидроз | dyshidrosis, is f | disgidroz; derlemegin bozulmagy
диск | discus, i m | disk; tegelek; aylaw
- межпозвонковый хрящевой | discus intervertebralis | onurgara ketirdevviik diski
- суставной | discus articularis | bogunara diski
дискератоз | dyskeratosis, is f | diskeratoz
дискинезия | dyskinesia, ae f | diskineziya; hereketin; gymyldynyn kynla§magy
дисковидный | disciformis, е | disk...; aylaw §ekilli
дискория | dyscoria, ae f | diskoriya; gozun gorejinin uytgemegi
дискразия | dyscrasia, ae f | diskraziya
дислалия | dyslaliadyslo, ae f | dislaliya; dilin peltekligi
дислокация | dyslocatio, onis f | dislokasiya; yerini; ornuny uytgetmek
дисменорея | dysmenorrhoea, ae f | dismenoreya; ayba§ynyn kynla§magy; bozulmagy
диспансер | dispensarium, i n | dispanser
диспансеризация, диспансеризирование | dispensarisatio, onis f | dispanserizasiya; dispanserizirleme
днспареуния | dyspareunia, ae f | dispareuniya
диспепсия | dyspepsia, ae f | dispepsiya; a§gazanyn funksiyasynyn bozulmagy
- бродильная или | dyspepsia intestinalis | gakiligi azmak; i^egelerin
ферментативная | fermentativa | funksiyasynyn bozulmagy
- гнилостная | dyspepsia intestinalis putrida | porsy iyge<;me; zaherlenme zerarly i^ge^me
- токсическая | dyspepsia toxica: toxicosis, щ f | toksiki icgeyme, dispepsiya
- у грудных детей | dyspepsia, ae f | dispepsiya; babeklerdaki icge^me
дисперсия | dispersio, onis f | dispersiya
дисплазия | dysplasia, ae f | displaziya
диспноэ | dyspnoea, a e f | dispnoe; dem aly^yn kynhejmagy; dem almagyn bozulmagy; dem gysnia
диссеминапня | disseniinatio, onis f | disseminasiya; yayran; dargan
диссеминированный | disseminatus, a, um | pUran; yayran gornii§li
диссимуляция | dissiniulatio, onis f | dissimulyasiya; menzemeklik
диссоциация | dissociatio, onis f | dissosiasiya; tapavvutlylyk
дистальный | distaMs, e | distal
дистензия | distensio, onis J | distenziya; da^la^yan: yctki
дистиллирование повторное | redestillatio, onis f | redistillyasiya; gaytadan arassalama; tamizleme
дистилляция | destillatio, onis f | distillyasiya; arassalamak
дистиреоз | dvsthJ reosis, is f | distireoz; galkan g 6 rnii§li
дистония | distonia, ae f | distoniya; mazin isinin bozulmagy; tonusyn bozulmagy
- вегетативная | neurosis vegetativa | vvegetativv distansiya
дисторсия | distorsio, onis f ; (distortio, onis f) | distorsiya
дистракпия | distractio, ae f | distraksiya; suyndurme; bolup ayyrmak
дистрофия | dystrophia | distrofiya; trofiki bozulma
- адипозо-генитальная, или гипофизарно-половая | dystrophia adiposogenitalis | adipozogenital yag yygnama; semreme
- кожи папиллярно-пипментная | acanthosis nigricans | deri tegmil distrofiyasy
мышечная прогрессивная | dystrophia musculorum progressiva | pi ogressiw my§sa distrofiyasy; myfjsanyn iymitleni^ prosesinin bozulmagynyn beterlenmegi
- печени токсическая | atrophia acuta flava hepatis | bagyr toksiki atrofiyasy
- пищевая или алиментарная | dystrophia alimentaria | nadogry iymitlenmeden bolyan distrofiya
дисфагня | dysphagia, ae f | disfagiya
- сидеропеническая | Plummer-Vinson syndromum | sideropeniyaly disfagiya; Plyummer-Winson sindromy
дисфазия | dysphasia, a e f | disfaziya
дисфония | dysphonia, ae f | disfoniya; sesin gyrylmagy
дисфункция | dysfunctio, onis f | disfunksiya; funksiyanyn bozulmagy; taret bozulmasy
дисхезия | dyschesia, ae f | disheziya; agvryly taret etrnek
дисхроматопсия | dyschromatopsia, ae f | dishromatopsiya
дисхромия | dyschromia, ae f | dishromiya
- кожи | leucoderma, atis n | ieykoderma; ak nienek
дисцизия | discisio, onis f | dissiziya
дисцит | discitis, tidis f | dissit
диурез | diuresis, is f | diurez; busukmak balansy; pcjew balansy
диуретические средства | diuretica(remedia)»//>/ | bu*jukdyryjy; pe§ew yykaryjy seri^deler
дифиллоботриоз | bothriocephalosis, is f | botriosefalloz; i(,ege guryugy keseli
дифтерийная ласточка | Corynebacterium diphtheriae | difteriya bakteriyasv; tayajygy
дифтерийный круп | diphtheria laryngis | bokurdak mindalinalarynyn difteriyasy; bogazdaky hakyky krup
дифферентный | differens, ntis | defferent; diirli
диффузия | diffusio, onis | diffuziya; syzinak
диффузный перитонит | peritonitis diffusa | diffuz; yayran peritoniti
дихотомия | dichotomia. ae f | dihotomiya
дюнцефалон | diencephalon, i n | diensefalon
дизнцефальная область | hepothalamus, i in | araljk beyni yeri
длинный | longus, a, um | uzyn
длительный | ehronicus,«. am | hroniki; dovvamly
для внутреннего употребления | ad usum internum | i^mek iicin
- личного употребления | ad usum propriuin | hususy; oziin peydalanmak iicin
- наружного употребления | ad usum externum | yalmak; siirtmek arkalv ulanmak iiyin
дневной | diurnus. a. um | giindizki
дно | fundus, i m | diiyp; diiybi
- глазное | fundus oculi | goziiii diiybi
- желудка | fundus ventriculi | asgazanyn diiybi
- матки | fundus uteri | yatgynyn diiybi
- тазовое | diaphagma pelvis | canaklvk siink diiybi
добавочный | accessorius, a, um; appendicularis, e; collateralis, intercurrens, ntis; succenturiatus, a, | goymaca
добровольный | voluntarius, a, um | meyletin
доброкачественная опухоль, доброкачественное новообразование | tumor benignus | howpsuz ^i§; doreme
доброкачественный | benignus, a, um; bonus, a, um | howpsuz
доза | bonus dosis, is f | doza; mukdar
- биологическая | biodosis, is f | biodoza; biologik mukdar, doza
- высшая, или максимальная | dosis maxima | maksima! doza; anyrba§ yokary mukdar, doza
- дробная, уменьшенная, фракционированная, или частичная | dosis refracta | boleklenen; kemeldilen mukdar, doza
- лечебная, или терапевтическая | dosis curativa | terapewtik ya-da bejeri;? mukdary, dozasv
- половинная | dosis dimidia | yarym mukdar
- смертельная, или летальная | dosis letalis | letal doza; mukdar; olum howply mukdar doza,
- минимальная | dosis letalis minima | ujypsyz; minimal mukdar; doza
- эритемная,дритемная кожная доза | erythema dosis (ED) | deri; ham eritema mukdary; dozasy
дозировка | posologia, ae f | dozala§dyrmak; mukdary anyklamak
доктор медицины | medicinae doctor | medisina doktory
- медицинских наук | medicinae doctor | medisina ylymlarynyn doktory
долабра | dolabra | dolabra; simli dany
долевой | lobaris, e | bolek...: bolege degi§li
долька | lobulus, i m | bolejik
долентнын | dolens, ntis | dolentli
долихоцефал | dolichocephalus, i in | dolihosefal; siiyri kelle
дольковмй | lobularis, e | bolejige degi§li
дольчатый | lobatus, a, um; lobulatus, a, | bolejiklerden ybarat
доля | lobus, i m | bolek
- головного мозга | lobus cerebri | kelle beynisinin bolegi
----- височная | lobus temporalis | yekge sunk bolegi
-----затылочная | lobus occipitalis | yen.se (yuwde) bolegi
----- лобная | lobus frontalis | manlay bolegi
-----теменная | lobus parietalis | kellecanagyn depe bolegi
- легочная или доля легкого | lobus pulnmnalis | oykeniu bolegi
донор | donator, oris in | donor; oz ganyny tab§yryan adam
дополнительный | succenturiatus, a, um | go^maya
дорсальный | dorsalis, e | dorsal; arka tarapy
дорсовситральный | dorsoventralis, e | dorsowentral: arka-garyn tarapy
достаточно | satis | yeterlik
драстнческие слабительные средства | drastica( reniedia )n/pl | iy' suruji; surgi seri.^deleri
дробление | fragmcntatio, onis f | fragmentasiya; ovvratmak
дрожание | fremitus, us in;, tremor, oris j f; vibratio, onis f | tremor; vvibrasiya; sandyramak; titremek
- голосовое | fremitus vocalis sive pectoralis | sesin sandyramagy
- радужной оболочки | iridodoncsis, is j | goziin alemgo^ar gatynyn titremegi
дрожательная, пли скакательная судорога | spasmus saltatorius | sandyradyan: titrewiik tutgay
дрожжи, дрожжевые грибки | Saccharomycetes, um m/pl | hen; henlemek; hen komelejikleri
дрожь лихорадочная | frigus febrium sive febrile | gyzdyrmakdan yana titremek; u^iitme
дромотропный | dromotropus, a, um | dromotrop; ge^irijilige degi§li
дуга | arcus, us m | egim; y a y §ekilli
- аорты | arcus aortae | aorta egimi
- старческая | arcus senilis | garrylyk bukulmesi; kuykiiligi
Дугласов абсцесс | Douglasi abscessus | Duglasowyn abssesi
Дугласово простран- ство | cavum Douglasi | Duglasowyn bo^lugy
дугообразный | arcuatus, a, um; convexus, a, | ya y §ekilli
дуоденальная язва | ulcus duodeni | onkibarmak iycgcdaki yara
дуоденальный | duodenalis, e | duodenal; onkibarmak iyeganin
- сок | succus duodenalis | onikibarmak iyeganin §iresi; suwuklygy
дупликатура | duplicatura, ae f | duplikatura; ust-ustune tikmek; goymak
дурной | malus, a, um | erbet; yaramaz; gylyksyz
душевная, или психическая болезнь | insania, ae f ; psychosis, is / | psihiki kesel
- угнетенность | depressio, onis f | depressiya; sustupeslik
душевнобольной | insanus, a, um | dali
дряхлость | infirmitas, atis / ; senium, i n | beden gow§amasy
душевное волнение | emotio, onis f ; perturbatio, onis f | emosiya; ruhy galagoplyk
дыхание | respiratio, onis f | respirasiya; dem almak
- амфорическое | respiratio amphorica | amforik dem aly§; kiiyze sesli dem aly§
- Биота | Bioti respiratio | Biot dem aly§
- бронхиальное | respiratio bronchialis | bronhial dem aly$
- брюшное | respiratio abdominalis sive diaphragmatica | abdominal; garyn bilen dem alma
- везикулярное | respiratio vesicularis | wezikulyar dem aly§; yenil; kadaly dem aly§
- замедленное | bradypnoea | hayal dem aly§
- затрудненное | dysphoea, a e f | dispnoe; dem aly§yn kynla$masy
- искусственное | respiratio artificalis | emeli dem aly§
- кожное | perspiratio, onis f | perpirasiya; deri; ham dem aly§y
- Куссмауля | Kussmauli respiratio | Kussamaul dem aly§y
- нормальное | eupnoea, ae f | epnoe; adaty dem aly§
- отсутствие или остановка | apnoea, a e f | apnoe; dem aly.'jyn togtamagy
- реберное или грудное | respiratio costalis sive thoracalis | kiikrek bilen deni almak
- усиленное | hyperpnoea, a e f | giperpnoe; giiyvlenen dem alys
дыхание свистящее пли стридулезное | respiratio stridulosa | hyssyldyly dem alma
- хрипящее или стерторозное | respiratio stertorosa | hy?!>yldyly dem alma
- Чейна - Стокса | Chcyne-Stokes' respiratio | Ceyn-Stoks dem aly§y
дыхательная аритмия | pulsus irreqularis respiratorius | dem almagyn kadasyzlanmag>
дыхательное горло | trachea, a e f | traheya; bokurdak
дыхательные пути | viae respiratoriae sive aereae | dem aly§ yollary
- органы | apparatus respiratorius | dem aly^ organlary
дыхательный шум | murmur respiratorium | dem aly^daky sesler
д'Эспина признак | d'Espine signum | d'Espinin alamat)
Дюпюитрена контрактура, | Dupuytreni contractura sive | Dyupyuitrenin kontrakturasy
или болезнь | morbus | ya-da keseli
Дюпюитрена перелом | Dupuytreni fractura | Dyupyuitrenin dowugi
